TransactionId;MerchantCnpj;CheckoutCode;CipheredCardNumber;AmountInCent;Installments;AcquirerName;PaymentMethod;CardBrandName;Status;StatusInfo;CreatedAt;AcquirerAuthorizationDateTime
125;02994728000101;8159;************1779;1950;1;Bin;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:58:25.000;2018-02-28 23:58:17.000
126;22895641000194;32724;************8941;1233;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:57:48.000;2018-02-28 23:58:42.000
127;18181688000119;31911;************6972;908;1;Cielo;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:57:03.000;2018-02-28 23:57:47.000
128;28176030000172;34242;************2066;1398;1;Redecard;Voucher;Sodexo Alimentacao;Recusada;Rede Adquirente/Autorizadora nÃ£o conectada - nÃ£o pode autorizar transaÃ§Ãµes neste momento.;2018-03-01 02:57:26.000;2018-02-28 23:57:28.000
129;05535694000185;37314;************2077;300;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:57:04.000;2018-02-28 23:57:11.000
130;30481457000126;39206;************6844;2643;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:57:40.000;2018-02-28 23:57:42.000
131;07485962000127;39991;************8416;4600;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:56:32.000;2018-02-28 23:57:19.000
132;24110320000162;31218;************6935;1596;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:57:26.000;2018-02-28 23:57:27.000
133;18604555000108;35348;************4052;2750;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:55:55.000;2018-02-28 23:56:39.000
134;18181688000119;31911;************9524;3159;1;Cielo;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:55:36.000;2018-02-28 23:56:20.000
135;10649601000264;40910;************8593;146400;1;Bin;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:55:34.000;2018-02-28 23:55:30.000
136;22895641000194;32724;************9135;1750;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:54:46.000;2018-02-28 23:55:40.000
137;22895641000194;32724;************392;3500;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:54:19.000;2018-02-28 23:55:13.000
138;10649601000264;40910;************9624;5640;1;Bin;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:54:10.000;2018-02-28 23:54:06.000
139;30481457000126;39206;************2622;4440;1;Redecard;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:53:53.000;2018-02-28 23:53:55.000
140;09298074000120;13400;************4010;9050;1;Cielo;Voucher;Alelo Alimentacao;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:53:53.000;2018-02-28 23:53:55.000
141;10649601000264;40910;************8309;5000;1;Bin;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:53:37.000;2018-02-28 23:53:33.000
142;26837175000141;40765;************4250;3398;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:53:16.000;2018-02-28 23:53:17.000
143;24635880000130;44400;************1290;2180;1;Redecard;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:52:07.000;2018-02-28 23:52:51.000
144;09429293000100;38687;************6489;1500;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:53:32.000;2018-02-28 23:53:34.000
145;09429293000100;38686;************6818;2000;1;Getnet;Débito à Vista;Electron;Recusada;Senha Inválida - A senha digitada pelo cliente não confere.;2018-03-01 02:53:12.000;2018-02-28 23:53:13.000
